codigoParadero,latitud,longitud
PA241,-33.4498665,-70.6590257
PA243,-33.4394877,-70.6593088
PA244,-33.4384073,-70.6594590
PA245,-33.4361131,-70.6597660
PA247,-33.4361565,-70.6642651
PA248,-33.4365740,-70.6685853
PA249,-33.4367380,-70.6713358
PA25,-33.4544052,-70.6553209
PA250,-33.4368277,-70.6724410
PA251,-33.4370857,-70.6766339
PA259,-33.4365301,-70.6425924
PA260,-33.4355203,-70.6455843
PA261,-33.4358594,-70.6483550
PA262,-33.4361382,-70.6510605
PA264,-33.4368385,-70.6573372
PA265,-33.4347851,-70.6599419
PA271,-33.4407040,-70.6651032
PA272,-33.4430680,-70.6651979
PA273,-33.4466106,-70.6647024
PA274,-33.4500651,-70.6647515
PA275,-33.4536862,-70.6650714
PA276,-33.4562663,-70.6650214
PA277,-33.4577014,-70.6691322
PA278,-33.4583257,-70.6734089
PA279,-33.4594219,-70.6747329
PA28,-33.4457088,-70.6568010
PA280,-33.4625519,-70.6740100
PA281,-33.4648369,-70.6734519
PA282,-33.4665102,-70.6719194
PA283,-33.4680500,-70.6701850
PA284,-33.4702980,-70.6680950
PA285,-33.4732504,-70.6653200
PA286,-33.4732310,-70.6648976
PA287,-33.4733549,-70.6715539
PA288,-33.4708689,-70.6715829
PA289,-33.4585519,-70.6724175
PA29,-33.4474692,-70.6536550
PA290,-33.4578826,-70.6685539
PA291,-33.4557969,-70.6666513
PA292,-33.4535250,-70.6671669
PA293,-33.4512650,-70.6677049
PA294,-33.4491960,-70.6681151
PA295,-33.4440272,-70.6676974
PA296,-33.4405990,-70.6683010
PA297,-33.4399732,-70.6651804
PA298,-33.4395318,-70.6610210
PA299,-33.4334479,-70.6573526
PA30,-33.4488090,-70.6568486
PA300,-33.4332285,-70.6538906
PA303,-33.4369976,-70.6589226
PA305,-33.4302311,-70.6658418
PA306,-33.4293175,-70.6686218
PA307,-33.4306150,-70.6694489
PA308,-33.4328250,-70.6692400
PA309,-33.4346360,-70.6690669
PA31,-33.4514821,-70.6563239
PA310,-33.4373720,-70.6688240
PA311,-33.4399108,-70.6686306
PA312,-33.4420851,-70.6682046
PA313,-33.4597683,-70.6650226
PA314,-33.4619650,-70.6650029
PA315,-33.4661633,-70.6649824
PA316,-33.4700366,-70.6649295
PA318,-33.4706673,-70.6633452
PA319,-33.4675078,-70.6634529
PA32,-33.4538492,-70.6557850
PA320,-33.4636616,-70.6636324
PA321,-33.4588631,-70.6638460
PA322,-33.4569594,-70.6646444
PA323,-33.4382460,-70.6685050
PA324,-33.4351639,-70.6688109
PA325,-33.4324180,-70.6690690
PA326,-33.4293830,-70.6693539
PA327,-33.4283249,-70.6714930
PA329,-33.4318431,-70.6522317
PA33,-33.4572422,-70.6557260
PA331,-33.4410856,-70.6798795
PA332,-33.4391103,-70.6574742
PA334,-33.4380317,-70.6460337
PA335,-33.4492943,-70.6721939
PA336,-33.4480824,-70.6677494
PA337,-33.4468927,-70.6619449
PA338,-33.4454322,-70.6556800
PA339,-33.4438148,-70.6495859
PA34,-33.4599762,-70.6555070
PA340,-33.4431005,-70.6465005
PA341,-33.4407890,-70.6411753
PA342,-33.4378776,-70.6368350
PA343,-33.4372935,-70.6362559
PA345,-33.4434009,-70.6496430
PA346,-33.4453172,-70.6583860
PA347,-33.4464531,-70.6632339
PA348,-33.4477120,-70.6680429
PA349,-33.4489269,-70.6726550
PA35,-33.4531491,-70.6589279
PA350,-33.4444073,-70.6517709
PA352,-33.4345687,-70.6592470
PA353,-33.4341693,-70.6481110
PA355,-33.4373252,-70.6798500
PA358,-33.4499846,-70.6347567
PA359,-33.4462125,-70.6358154
PA36,-33.4547692,-70.6584430
PA360,-33.4447116,-70.6366888
PA361,-33.4432226,-70.6375471
PA362,-33.4419804,-70.6386149
PA365,-33.4447401,-70.6558681
PA366,-33.4457851,-70.6604719
PA367,-33.4501966,-70.6773589
PA368,-33.4506208,-70.6771210
PA369,-33.4483908,-70.6688868
PA37,-33.4560372,-70.6579819
PA370,-33.4471391,-70.6630400
PA371,-33.4428024,-70.6453129
PA372,-33.4382630,-70.6375031
PA375,-33.4439049,-70.6521908
PA376,-33.4449006,-70.6565548
PA377,-33.4461626,-70.6619804
PA378,-33.4501609,-70.6789296
PA38,-33.4697862,-70.6566949
PA383,-33.4375456,-70.6358377
PA384,-33.4370922,-70.6354898
PA385,-33.4424227,-70.6452976
PA387,-33.4328918,-70.6785610
PA388,-33.4326019,-70.6755539
PA39,-33.4730351,-70.6555725
PA390,-33.4321987,-70.6694139
PA391,-33.4321240,-70.6665519
PA392,-33.4321260,-70.6638033
PA393,-33.4367817,-70.6357440
PA395,-33.4364635,-70.6430780
PA396,-33.4328676,-70.6529561
PA4,-33.4469808,-70.6792149
PA40,-33.4369584,-70.6390279
PA405,-33.4323149,-70.6714670
PA409,-33.4339994,-70.6430160
PA41,-33.4392345,-70.6394089
PA410,-33.4348965,-70.6391570
PA411,-33.4357225,-70.6355869
PA412,-33.4329030,-70.6683130
PA413,-33.4330549,-70.6708714
PA414,-33.4332517,-70.6737971
PA415,-33.4334848,-70.6770349
PA416,-33.4336718,-70.6802189
PA417,-33.4385364,-70.6514489
PA418,-33.4429604,-70.6415340
PA419,-33.4432175,-70.6382219
PA42,-33.4398496,-70.6403009
PA420,-33.4420145,-70.6341499
PA421,-33.4359548,-70.6493467
PA422,-33.4362523,-70.6519154
PA423,-33.4366515,-70.6555043
PA424,-33.4373361,-70.6623814
PA425,-33.4349273,-70.6627219
PA426,-33.4326941,-70.6648050
PA427,-33.4415238,-70.6789830
PA428,-33.4411589,-70.6757499
PA429,-33.4408034,-70.6725883
PA43,-33.4406000,-70.6452025
PA430,-33.4403750,-70.6686811
PA431,-33.4362900,-70.6654495
PA433,-33.4572035,-70.6642314
PA434,-33.4569390,-70.6610738
PA435,-33.4606363,-70.6568457
PA436,-33.4600341,-70.6518149
PA438,-33.4589540,-70.6453793
PA439,-33.4585516,-70.6435321
PA44,-33.4382664,-70.6455089
PA440,-33.4577326,-70.6396367
PA442,-33.4564248,-70.6334694
PA443,-33.4560170,-70.6331212
PA444,-33.4567737,-70.6366757
PA445,-33.4573299,-70.6393875
PA446,-33.4580823,-70.6429602
PA447,-33.4586648,-70.6458007
PA448,-33.4593129,-70.6488012
PA449,-33.4596948,-70.6514012
PA450,-33.4602763,-70.6568716
PA451,-33.4566608,-70.6613226
PA452,-33.4568634,-70.6637839
PA453,-33.4575240,-70.6681470
PA455,-33.4492510,-70.6703950
PA456,-33.4524190,-70.6696619
PA457,-33.4546820,-70.6691349
PA458,-33.4568170,-70.6686399
PA459,-33.4567511,-70.6623200
PA46,-33.4344634,-70.6454848
PA460,-33.4384714,-70.6622408
PA462,-33.4390680,-70.6682000
PA463,-33.4398019,-70.6753549
PA465,-33.4605022,-70.6556189
PA466,-33.4536992,-70.6540950
PA467,-33.4505382,-70.6545400
PA468,-33.4481773,-70.6549018
PA469,-33.4564721,-70.6594420
PA47,-33.4334619,-70.6476634
PA470,-33.4558672,-70.6610139
PA471,-33.4524620,-70.6615242
PA472,-33.4498901,-70.6619232
PA474,-33.4470719,-70.6749450
PA476,-33.4326315,-70.6489103
PA478,-33.4556228,-70.6507383
PA479,-33.4551273,-70.6472950
PA48,-33.4325869,-70.6533393
PA480,-33.4545264,-70.6441890
PA481,-33.4539004,-70.6407680
PA482,-33.4535135,-70.6379850
PA483,-33.4527735,-70.6344559
PA487,-33.4494071,-70.6299626
PA488,-33.4520245,-70.6378720
PA489,-33.4525894,-70.6404900
PA49,-33.4343666,-70.6587930
PA490,-33.4531674,-70.6437110
PA491,-33.4536034,-70.6460690
PA492,-33.4540093,-70.6497040
PA493,-33.4543333,-70.6521680
PA495,-33.4719954,-70.6455249
PA496,-33.4717754,-70.6423590
PA497,-33.4716035,-70.6395350
PA498,-33.4714575,-70.6370759
PA499,-33.4712366,-70.6333960
PA5,-33.4428952,-70.6795581
PA50,-33.4356627,-70.6586044
PA500,-33.4684596,-70.6331286
PA501,-33.4678437,-70.6304232
PA502,-33.4674797,-70.6267740
PA503,-33.4674236,-70.6304180
PA504,-33.4701916,-70.6296640
PA505,-33.4721806,-70.6327860
PA506,-33.4723566,-70.6353349
PA507,-33.4726445,-70.6390568
PA508,-33.4728314,-70.6418329
PA509,-33.4731673,-70.6479339
PA51,-33.4385805,-70.6582450
PA510,-33.4597017,-70.6400638
PA511,-33.4625315,-70.6393059
PA513,-33.4633173,-70.6456219
PA514,-33.4645170,-70.6470828
PA515,-33.4669335,-70.6469736
PA516,-33.4692854,-70.6468797
PA517,-33.4716663,-70.6467820
PA52,-33.4419741,-70.6578083
PA527,-33.4582934,-70.6423069
PA53,-33.4447230,-70.6574680
PA532,-33.4700451,-70.6590219
PA534,-33.4735390,-70.6668600
PA535,-33.4730870,-70.6696299
PA536,-33.4742630,-70.6703719
PA537,-33.4706140,-70.6680730
PA538,-33.4705411,-70.6639509
PA539,-33.4703041,-70.6600269
PA54,-33.4529809,-70.6546527
PA542,-33.4451588,-70.6400861
PA543,-33.4442295,-70.6371999
PA55,-33.4541461,-70.6526326
PA551,-33.4495992,-70.6751154
PA552,-33.4463269,-70.6761710
PA556,-33.4444669,-70.6753170
PA558,-33.4492509,-70.6744539
PA56,-33.4577468,-70.6520612
PA562,-33.4483979,-70.6758530
PA563,-33.4439129,-70.6762600
PA569,-33.4635355,-70.6390530
PA57,-33.4595627,-70.6517989
PA570,-33.4658225,-70.6384550
PA571,-33.4683215,-70.6377799
PA572,-33.4721955,-70.6367899
PA573,-33.4783188,-70.6788919
PA574,-33.4783509,-70.6762619
PA58,-33.4637214,-70.6511339
PA585,-33.4443715,-70.6366849
PA587,-33.4370606,-70.6456441
PA589,-33.4661899,-70.6731200
PA590,-33.4682130,-70.6730559
PA591,-33.4559679,-70.6755360
PA592,-33.4582719,-70.6749869
PA593,-33.4729202,-70.6595469
PA594,-33.4732091,-70.6628330
PA595,-33.4733724,-70.6510119
PA596,-33.4735302,-70.6539199
PA597,-33.4544344,-70.6772583
PA598,-33.4445333,-70.6522400
PA599,-33.4426878,-70.6798049
PA6,-33.4417359,-70.6796695
PA60,-33.4697029,-70.6502026
PA600,-33.4348195,-70.6652161
PA601,-33.4344372,-70.6560308
PA602,-33.4304209,-70.6766410
PA603,-33.4323369,-70.6764559
PA605,-33.4696703,-70.6470020
PA606,-33.4700233,-70.6503729
PA608,-33.4654176,-70.6284180
PA609,-33.4623576,-70.6292910
PA61,-33.4731533,-70.6496618
PA610,-33.4605117,-70.6298359
PA611,-33.4583596,-70.6304880
PA612,-33.4561806,-70.6311069
PA613,-33.4536866,-70.6317389
PA614,-33.4678006,-70.6277230
PA615,-33.4518357,-70.6332409
PA617,-33.4609376,-70.6321679
PA618,-33.4622696,-70.6318089
PA619,-33.4649656,-70.6310989
PA620,-33.4576246,-70.6330540
PA621,-33.4339879,-70.6727670
PA622,-33.4338000,-70.6698390
PA627,-33.4555343,-70.6523860
PA628,-33.4724633,-70.6497640
PA629,-33.4557176,-70.6334949
PA63,-33.4758705,-70.6481328
PA630,-33.4625362,-70.6552930
PA633,-33.4701642,-70.6546779
PA634,-33.4733682,-70.6543479
PA635,-33.4764612,-70.6540869
PA637,-33.4715066,-70.6288749
PA638,-33.4707006,-70.6297640
PA639,-33.4702547,-70.6273680
PA64,-33.4729687,-70.6482928
PA640,-33.4441067,-70.6880049
PA641,-33.4443246,-70.6915719
PA642,-33.4440157,-70.6837920
PA643,-33.4421599,-70.6754180
PA65,-33.4699227,-70.6484523
PA652,-33.4454821,-70.6608429
PA654,-33.4465956,-70.6471154
PA655,-33.4526418,-70.6747390
PA657,-33.4496370,-70.6734482
PA658,-33.4597683,-70.6494700
PA659,-33.4784139,-70.6719130
PA66,-33.4663233,-70.6486738
PA660,-33.4757681,-70.6700384
PA661,-33.4754870,-70.6679250
PA662,-33.4604542,-70.6532869
PA663,-33.4481213,-70.6470920
PA664,-33.4704399,-70.6730270
PA665,-33.4449512,-70.6554430
PA666,-33.4572205,-70.6371249
PA668,-33.4464981,-70.6601410
PA67,-33.4629204,-70.6488481
PA671,-33.4701712,-70.6567799
PA672,-33.4703890,-70.6595453
PA673,-33.4737730,-70.6651940
PA676,-33.4513736,-70.6310749
PA677,-33.4764359,-70.6717490
PA679,-33.4450701,-70.6601360
PA68,-33.4597830,-70.6490446
PA680,-33.4734841,-70.6599769
PA681,-33.4746709,-70.6729790
PA682,-33.4726839,-70.6729620
PA683,-33.4512079,-70.6739809
PA684,-33.4706340,-70.6705510
PA685,-33.4511905,-70.6346300
PA686,-33.4484136,-70.6351504
PA687,-33.4501325,-70.6349090
PA688,-33.4470679,-70.6357046
PA689,-33.4394679,-70.6721959
PA69,-33.4558347,-70.6496587
PA690,-33.4740700,-70.6678379
PA691,-33.4758326,-70.6693116
PA692,-33.4405594,-70.6413829
PA693,-33.4706279,-70.6596846
PA694,-33.4658913,-70.6507990
PA695,-33.4648556,-70.6720358
PA696,-33.4340299,-70.6803554
PA697,-33.4649470,-70.6278699
PA698,-33.4363204,-70.6392673
PA7,-33.4396828,-70.6798569
PA70,-33.4534386,-70.6500414
PA702,-33.4288128,-70.6736081
PA703,-33.4290560,-70.6750594
PA704,-33.4685078,-70.6785439
PA705,-33.4286238,-70.6717029
PA706,-33.4746314,-70.6439700
PA707,-33.4433478,-70.6772010
PA709,-33.4517176,-70.6334479
PA71,-33.4512839,-70.6503746
PA710,-33.4415935,-70.6392109
PA712,-33.4734433,-70.6644721
PA714,-33.4481899,-70.6777055
PA715,-33.4427073,-70.6379888
PA717,-33.4475237,-70.6520750
PA718,-33.4382272,-70.6567580
PA719,-33.4348682,-70.6572349
PA72,-33.4506621,-70.6504635
PA720,-33.4455653,-70.6553055
PA723,-33.4521122,-70.6723668
PA724,-33.4389456,-70.6686409
PA725,-33.4376958,-70.6800445
PA726,-33.4375663,-70.6624565
PA727,-33.4420513,-70.6619130
PA763,-33.4388201,-70.6483108
PA774,-33.4368621,-70.6584943
PA78,-33.4390998,-70.6601978
PA8,-33.4387469,-70.6799379
PA80,-33.4517158,-70.6584764
PA81,-33.4469509,-70.6603228
PA816,-33.4412489,-70.6393642
PA817,-33.4465540,-70.6676029
PA818,-33.4462268,-70.6678574
PA819,-33.4751535,-70.6438183
PA82,-33.4420711,-70.6597259
PA820,-33.4374707,-70.6485459
PA821,-33.4412825,-70.6479453
PA822,-33.4385662,-70.6645848
PA823,-33.4585561,-70.6289599
PA827,-33.4764379,-70.6496477
PA832,-33.4581385,-70.6723550
PA838,-33.4316098,-70.6531397
PA839,-33.4748119,-70.6726829
PA84,-33.4324292,-70.6530900
PA86,-33.4454676,-70.6574158
PA87,-33.4329993,-70.6523909
PA88,-33.4336464,-70.6489858
PA89,-33.4355884,-70.6488360
PA9,-33.4697530,-70.6715877
PA91,-33.4419587,-70.6478825
PA92,-33.4452056,-70.6471314
PA93,-33.4505632,-70.6469233
PA94,-33.4532604,-70.6466036
PA95,-33.4576564,-70.6456529
PA96,-33.4606920,-70.6450484
PA97,-33.4642077,-70.6446449
PA98,-33.4690874,-70.6440589
PA99,-33.4722574,-70.6438841
PB1,-33.4045537,-70.6230951
PB10,-33.3957367,-70.6495151
PB100,-33.4101476,-70.7462850
PB1001,-33.3641294,-70.7007090
PB1004,-33.3330274,-70.7111428
PB1005,-33.3315173,-70.7064159
PB1006,-33.3295424,-70.7011330
PB1007,-33.3248935,-70.7146448
PB1008,-33.3237053,-70.7111197
PB1009,-33.3230143,-70.7089399
PB101,-33.3884098,-70.6159729
PB1010,-33.3264934,-70.7055639
PB1011,-33.3280115,-70.7030331
PB1012,-33.3295574,-70.7015180
PB1013,-33.3311344,-70.7059350
PB1014,-33.3325843,-70.7105360
PB1019,-33.3527381,-70.7205810
PB102,-33.3904858,-70.6192549
PB1020,-33.3512581,-70.7205118
PB1021,-33.3514559,-70.7170549
PB1022,-33.3525042,-70.7159790
PB1023,-33.3538082,-70.7148499
PB1024,-33.3555292,-70.7148280
PB1025,-33.3549720,-70.7183369
PB1026,-33.3545471,-70.7205410
PB1027,-33.3508359,-70.7288380
PB1028,-33.3502469,-70.7318679
PB1029,-33.3492989,-70.7335132
PB103,-33.3925388,-70.6197939
PB1030,-33.3486788,-70.7377300
PB1031,-33.3487658,-70.7398516
PB1032,-33.3644665,-70.7526879
PB1033,-33.3686383,-70.7107295
PB1034,-33.3678453,-70.7059710
PB1035,-33.3701390,-70.6709120
PB1036,-33.3672546,-70.6704268
PB1037,-33.3616390,-70.6704350
PB1038,-33.3580858,-70.6704524
PB1039,-33.3558380,-70.6704520
PB1040,-33.3538290,-70.6704410
PB1046,-33.3529539,-70.6744439
PB1047,-33.3526448,-70.6776950
PB1049,-33.3530469,-70.6747620
PB105,-33.3950246,-70.6263216
PB1052,-33.3555783,-70.6706489
PB1053,-33.3587588,-70.6707170
PB1054,-33.3628210,-70.6706330
PB1055,-33.3651670,-70.6706230
PB1056,-33.3676653,-70.7060470
PB1057,-33.3684203,-70.7102970
PB1058,-33.3689491,-70.7134448
PB1059,-33.3655706,-70.7447680
PB106,-33.3965277,-70.6266150
PB1060,-33.3976305,-70.7521400
PB1061,-33.3994426,-70.7470750
PB1062,-33.4008337,-70.7435009
PB1063,-33.3995757,-70.7397099
PB1064,-33.4006608,-70.7361690
PB1065,-33.4015469,-70.7327200
PB1066,-33.4011259,-70.7300850
PB1067,-33.3989589,-70.7283419
PB1068,-33.3963670,-70.7255570
PB1069,-33.3962062,-70.7233360
PB107,-33.3984549,-70.6280389
PB1070,-33.3974530,-70.7226840
PB1071,-33.3998181,-70.7217869
PB1072,-33.4012851,-70.7212370
PB1073,-33.4067496,-70.6918510
PB1074,-33.4046686,-70.6915340
PB1075,-33.4019194,-70.6913563
PB1076,-33.3982486,-70.6930970
PB1077,-33.3957646,-70.6935330
PB1078,-33.3942934,-70.6939599
PB1079,-33.3919533,-70.6946878
PB1080,-33.3906145,-70.6950860
PB1081,-33.3874963,-70.6959976
PB1083,-33.3860165,-70.6977169
PB1084,-33.3899325,-70.6996380
PB1085,-33.3928884,-70.7010759
PB1086,-33.3962804,-70.7004450
PB1087,-33.3987198,-70.7021807
PB1088,-33.4005718,-70.7027352
PB109,-33.3987836,-70.6281470
PB1091,-33.3995751,-70.7217820
PB1092,-33.3973100,-70.7226690
PB1093,-33.3965460,-70.7229580
PB1094,-33.3962264,-70.7252220
PB1095,-33.3970540,-70.7268580
PB1096,-33.3993576,-70.7288399
PB1097,-33.4009039,-70.7301750
PB1098,-33.4014909,-70.7326360
PB1099,-33.4005514,-70.7357510
PB11,-33.3952925,-70.6528923
PB110,-33.3971167,-70.6269519
PB1100,-33.3994796,-70.7396331
PB1101,-33.4005557,-70.7430359
PB1102,-33.3995932,-70.7465932
PB1103,-33.3974853,-70.7521168
PB1105,-33.3944742,-70.7686649
PB1106,-33.3570706,-70.6913709
PB1107,-33.3597630,-70.6904533
PB1108,-33.3639094,-70.6746472
PB1109,-33.3726370,-70.6711039
PB111,-33.3952174,-70.6255569
PB1110,-33.3743609,-70.6713789
PB1111,-33.3765389,-70.6717299
PB1112,-33.3786389,-70.6720600
PB1113,-33.3800019,-70.6729910
PB1114,-33.3821869,-70.6724700
PB1115,-33.3839999,-70.6720469
PB1116,-33.3865149,-70.6714219
PB1117,-33.3889890,-70.6707920
PB1118,-33.3909100,-70.6703139
PB1119,-33.3939598,-70.6679429
PB1120,-33.3954110,-70.6673799
PB1121,-33.3968854,-70.6669963
PB1122,-33.3993160,-70.6724012
PB1123,-33.4012759,-70.6715089
PB1124,-33.4038906,-70.6698308
PB1125,-33.4231353,-70.6546019
PB1126,-33.4233793,-70.6513911
PB1127,-33.4240083,-70.6490330
PB1128,-33.4250004,-70.6463009
PB1129,-33.4041850,-70.6692450
PB113,-33.3933188,-70.6192049
PB1130,-33.4009199,-70.6715319
PB1132,-33.3908810,-70.6702389
PB1133,-33.3889630,-70.6707029
PB1134,-33.3866809,-70.6712850
PB1135,-33.3842859,-70.6718800
PB1136,-33.3824238,-70.6723299
PB1137,-33.3768740,-70.6717058
PB1138,-33.3745579,-70.6713419
PB1139,-33.3724520,-70.6710130
PB114,-33.3933428,-70.6149199
PB1142,-33.4014966,-70.6347301
PB1143,-33.4012886,-70.6381228
PB1144,-33.4009114,-70.6425120
PB1146,-33.3987433,-70.6490359
PB1147,-33.3968563,-70.6514379
PB1148,-33.3958007,-70.6527142
PB1149,-33.3936872,-70.6554339
PB1150,-33.3921525,-70.6568786
PB1151,-33.3904738,-70.6585258
PB1152,-33.3895621,-70.6603150
PB1153,-33.3883431,-70.6619080
PB1154,-33.3866831,-70.6638910
PB1155,-33.3839791,-70.6650760
PB1157,-33.3828750,-70.6679950
PB1158,-33.3813070,-70.6697939
PB1159,-33.3792089,-70.6722240
PB116,-33.3939617,-70.6245160
PB1160,-33.3676497,-70.6874040
PB1161,-33.3684437,-70.6846060
PB1162,-33.3686163,-70.6819809
PB1163,-33.3695728,-70.6800939
PB1164,-33.3713958,-70.6808139
PB1165,-33.3734418,-70.6817629
PB1167,-33.3811411,-70.6701296
PB1168,-33.3832021,-70.6677961
PB1169,-33.3860966,-70.6647599
PB117,-33.3913906,-70.6289869
PB1170,-33.3869781,-70.6638890
PB1171,-33.3882671,-70.6622600
PB1172,-33.3895271,-70.6606630
PB1173,-33.3904942,-70.6586830
PB1174,-33.3915252,-70.6576750
PB1175,-33.3923942,-70.6568419
PB1176,-33.3937712,-70.6554899
PB1177,-33.3947279,-70.6544079
PB1178,-33.3970773,-70.6513969
PB1179,-33.3981863,-70.6499750
PB118,-33.3890226,-70.6321559
PB1180,-33.4003401,-70.6472005
PB1181,-33.4009724,-70.6431280
PB1182,-33.4013705,-70.6384969
PB1183,-33.4015996,-70.6350984
PB1184,-33.4014956,-70.6311190
PB1186,-33.3849633,-70.6498789
PB1187,-33.3844376,-70.6520749
PB1188,-33.3842532,-70.6570899
PB1189,-33.3808289,-70.6788565
PB119,-33.3852665,-70.6372599
PB1190,-33.3776590,-70.6788607
PB1191,-33.3764928,-70.6823319
PB1192,-33.3733199,-70.6845879
PB1193,-33.3565853,-70.6914454
PB1194,-33.3532716,-70.6921500
PB1195,-33.3413995,-70.6948690
PB1196,-33.3382795,-70.6952450
PB1197,-33.3350855,-70.6968219
PB1198,-33.3351701,-70.7185389
PB1199,-33.3355534,-70.7207157
PB120,-33.3834255,-70.6396829
PB1200,-33.3326561,-70.7220530
PB1201,-33.3282330,-70.7239680
PB1202,-33.3284960,-70.7265200
PB1203,-33.3334091,-70.7272351
PB1204,-33.3372080,-70.7259838
PB1205,-33.3501835,-70.7290138
PB1206,-33.3600424,-70.7295127
PB1207,-33.3615099,-70.7297030
PB1208,-33.3603629,-70.7292900
PB1209,-33.3491009,-70.7287290
PB121,-33.3809609,-70.6440509
PB1210,-33.3370470,-70.7259199
